lifetime, velocity, clife, cof, face, fripscore
500.0,0.33,30.0,1.0,0.9,0.22320693
500.0,1,30.0,1.0,0.9,0.43193114
500.0,3,30.0,1.0,0.9,0.6367103
1500.0,0.33,30.0,150.0,0.9,0.44143799
1500.0,1,30.0,150.0,0.9,0.66648396
1500.0,3,30.0,150.0,0.9,0.81381763
166.0,0.33,30.0,150.0,0.9,0.08904887
166.0,1,30.0,150.0,0.9,0.21913086
166.0,3,30.0,150.0,0.9,0.42441874
500.0,0.33,30.0,150.0,0.9,0.21946447
500.0,1,30.0,150.0,0.9,0.44212615
500.0,3,30.0,150.0,0.9,0.64197413
1500.0,0.33,30.0,3.0,0.9,0.44590613
1500.0,1,30.0,3.0,0.9,0.65553193
1500.0,3,30.0,3.0,0.9,0.79641384
166.0,0.33,30.0,3.0,0.9,0.09091298
166.0,1,30.0,3.0,0.9,0.22658609
166.0,3,30.0,3.0,0.9,0.42309826
500.0,0.33,30.0,3.0,0.9,0.2235902
500.0,1,30.0,3.0,0.9,0.44693739
500.0,3,30.0,3.0,0.9,0.64918984
1500.0,0.33,10.0,1.0,0,0.00967221
1500.0,1,10.0,1.0,0,0.00941637
1500.0,3,10.0,1.0,0,0.00424524
166.0,0.33,10.0,1.0,0,0.00962703
166.0,1,10.0,1.0,0,0.00939326
166.0,3,10.0,1.0,0,0.00896574
500.0,0.33,10.0,1.0,0,0.00948925
500.0,1,10.0,1.0,0,0.0098732
500.0,3,10.0,1.0,0,0.00998861
1500.0,0.33,10.0,150.0,0,0.01075855
1500.0,1,10.0,150.0,0,0.00750548
1500.0,3,10.0,150.0,0,0.00921617
166.0,0.33,10.0,150.0,0,0.00958267
166.0,1,10.0,150.0,0,0.00969672
166.0,3,10.0,150.0,0,0.00953525
500.0,0.33,10.0,150.0,0,0.00976915
500.0,1,10.0,150.0,0,0.00953495
500.0,3,10.0,150.0,0,0.00961288
1500.0,0.33,10.0,3.0,0,0.01030579
1500.0,1,10.0,3.0,0,0.0086652
1500.0,3,10.0,3.0,0,0.00789436
166.0,0.33,10.0,3.0,0,0.00973971
166.0,1,10.0,3.0,0,0.00933761
166.0,3,10.0,3.0,0,0.01050786
500.0,0.33,10.0,3.0,0,0.01000481
500.0,1,10.0,3.0,0,0.00995334
500.0,3,10.0,3.0,0,0.00816412
1500.0,0.33,1500.0,1.0,0,0.01101562
1500.0,1,1500.0,1.0,0,0.00920233
1500.0,3,1500.0,1.0,0,0.00547629
166.0,0.33,1500.0,1.0,0,0.00971831
166.0,1,1500.0,1.0,0,0.00937244
166.0,3,1500.0,1.0,0,0.01046219
500.0,0.33,1500.0,1.0,0,0.00936301
500.0,1,1500.0,1.0,0,0.00959536
500.0,3,1500.0,1.0,0,0.00908235
1500.0,0.33,1500.0,150.0,0,0.00953953
1500.0,1,1500.0,150.0,0,0.00992123
1500.0,3,1500.0,150.0,0,0.01245971
166.0,0.33,1500.0,150.0,0,0.00948229
166.0,1,1500.0,150.0,0,0.00951401
166.0,3,1500.0,150.0,0,0.00946678
500.0,0.33,1500.0,150.0,0,0.00960752
500.0,1,1500.0,150.0,0,0.0096003
500.0,3,1500.0,150.0,0,0.00746834
1500.0,0.33,1500.0,3.0,0,0.0093251
1500.0,1,1500.0,3.0,0,0.00962603
1500.0,3,1500.0,3.0,0,0.00694105
166.0,0.33,1500.0,3.0,0,0.00964382
166.0,1,1500.0,3.0,0,0.00975198
166.0,3,1500.0,3.0,0,0.00889489
500.0,0.33,1500.0,3.0,0,0.00935425
500.0,1,1500.0,3.0,0,0.00980128
500.0,3,1500.0,3.0,0,0.00948617
1500.0,0.33,30.0,1.0,0,0.00893843
1500.0,1,30.0,1.0,0,0.00856211
1500.0,3,30.0,1.0,0,0.01109376
166.0,0.33,30.0,1.0,0,0.00955583
166.0,1,30.0,1.0,0,0.00940362
166.0,3,30.0,1.0,0,0.0102339
500.0,0.33,30.0,1.0,0,0.00997051
500.0,1,30.0,1.0,0,0.01003326
500.0,3,30.0,1.0,0,0.00879189
1500.0,0.33,30.0,150.0,0,0.00939005
1500.0,1,30.0,150.0,0,0.00985573
1500.0,3,30.0,150.0,0,0.00926111
