lifetime, velocity, separation, clife, cof, fripscore
1500.0,3,100,150.0,15000.0,0.01042637
500.0,1,1000,150.0,15000.0,0.0136642
500.0,1,100,150.0,15000.0,0.01037751
500.0,3,100,150.0,15000.0,0.01546186
500.0,1,300,150.0,15000.0,0.01020921212121212
500.0,1,500,150.0,15000.0,0.01111435
500.0,1,700,150.0,15000.0,0.011295285714285714
1500.0,1,100,150.0,150000.0,0.00964254
1500.0,3,100,150.0,150000.0,0.00523013
500.0,1,1000,150.0,150000.0,0.0085778
500.0,1,100,150.0,150000.0,0.01003829
500.0,3,100,150.0,150000.0,0.00941134
500.0,1,300,150.0,150000.0,0.009999757575757575
500.0,1,500,150.0,150000.0,0.0103464
500.0,1,700,150.0,150000.0,0.009223785714285714
1500.0,1,100,150.0,3.0,0.21073731
1500.0,3,100,150.0,3.0,0.35105513
500.0,1,1000,150.0,3.0,0.1940707
500.0,1,100,150.0,3.0,0.18980047
500.0,3,100,150.0,3.0,0.34692211
500.0,1,300,150.0,3.0,0.20036615151515152
500.0,1,500,150.0,3.0,0.19303825
500.0,1,700,150.0,3.0,0.19623164285714287
1500.0,1,100,150.0,5.0,0.19359818
1500.0,3,100,150.0,5.0,0.32818303
500.0,1,1000,150.0,5.0,0.1805681
500.0,1,100,150.0,5.0,0.1743313
500.0,3,100,150.0,5.0,0.33031857
500.0,1,300,150.0,5.0,0.1810098181818182
500.0,1,500,150.0,5.0,0.1853102
500.0,1,700,150.0,5.0,0.17817757142857144
1500.0,1,100,150.0,50.0,0.14073401
1500.0,3,100,150.0,50.0,0.28331336
500.0,1,1000,150.0,50.0,0.134302
500.0,1,100,150.0,50.0,0.13274078
500.0,3,100,150.0,50.0,0.27913239
500.0,1,300,150.0,50.0,0.13275645454545454
500.0,1,500,150.0,50.0,0.134894
500.0,1,700,150.0,50.0,0.13458607142857143
1500.0,1,100,150.0,500.0,0.04391347
1500.0,3,100,150.0,500.0,0.11305003
500.0,1,1000,150.0,500.0,0.0498939
500.0,1,100,150.0,500.0,0.04737034
500.0,3,100,150.0,500.0,0.09912671
500.0,1,300,150.0,500.0,0.04992481818181818
500.0,1,500,150.0,500.0,0.046496
500.0,1,700,150.0,500.0,0.050528
1500.0,1,100,150.0,5000.0,0.01180195
1500.0,3,100,150.0,5000.0,0.02472066
500.0,1,1000,150.0,5000.0,0.015435
500.0,1,100,150.0,5000.0,0.01354221
500.0,3,100,150.0,5000.0,0.01999233
500.0,1,300,150.0,5000.0,0.015465515151515152
500.0,1,500,150.0,5000.0,0.0143481
500.0,1,700,150.0,5000.0,0.014598285714285715
1500.0,1,100,150.0,50000.0,0.00976023
1500.0,3,100,150.0,50000.0,0.0083394
500.0,1,1000,150.0,50000.0,0.0094364
500.0,1,100,150.0,50000.0,0.01022811
500.0,3,100,150.0,50000.0,0.01188977
500.0,1,300,150.0,50000.0,0.009206606060606061
500.0,1,500,150.0,50000.0,0.00985565
500.0,1,700,150.0,50000.0,0.010485428571428571
1500.0,1,100,150.0,500000.0,0.00963377
1500.0,3,100,150.0,500000.0,0.00957077
500.0,1,1000,150.0,500000.0,0.0095963
500.0,1,100,150.0,500000.0,0.00945278
500.0,3,100,150.0,500000.0,0.00808548
500.0,1,300,150.0,500000.0,0.009584484848484849
500.0,1,500,150.0,500000.0,0.010108
500.0,1,700,150.0,500000.0,0.009419214285714286
